teacher_condition,block_condition,condition_index,condition_count_index,human_play_reward_1,human_play_reward_2,human_play_reward_3,model_play_reward_1,model_play_reward_2,model_play_reward_3,method,trial
no teacher,play play play,3,0,14.0,16.0,13.0,12.0,17.0,24.0,Thompson-Lesion,61118e9a32395df5867ce217
no teacher,play play play,3,0,14.0,16.0,13.0,13.0,12.0,24.0,Thompson-Naive,61118e9a32395df5867ce217
no teacher,play play play,3,0,14.0,16.0,13.0,9.0,21.0,19.0,Thompson-Predict,61118e9a32395df5867ce217
no teacher,play play play,3,0,12.0,22.0,21.0,12.0,9.0,17.0,Thompson-Lesion,5be084ec4c397b0001ec3567
no teacher,play play play,3,0,12.0,22.0,21.0,13.0,20.0,19.0,Thompson-Naive,5be084ec4c397b0001ec3567
no teacher,play play play,3,0,12.0,22.0,21.0,14.0,17.0,17.0,Thompson-Predict,5be084ec4c397b0001ec3567
no teacher,play play play,3,1,14.0,12.0,13.0,13.0,18.0,13.0,Thompson-Lesion,6138e0e705d9e4707bb79e09
no teacher,play play play,3,1,14.0,12.0,13.0,10.0,13.0,11.0,Thompson-Naive,6138e0e705d9e4707bb79e09
no teacher,play play play,3,1,14.0,12.0,13.0,11.0,13.0,12.0,Thompson-Predict,6138e0e705d9e4707bb79e09
no teacher,play play play,1,0,8.0,9.0,10.0,12.0,15.0,13.0,Thompson-Lesion,5bbafad7736db000016d8600
no teacher,play play play,1,0,8.0,9.0,10.0,11.0,12.0,16.0,Thompson-Naive,5bbafad7736db000016d8600
no teacher,play play play,1,0,8.0,9.0,10.0,16.0,15.0,18.0,Thompson-Predict,5bbafad7736db000016d8600
novice,play watch play,1,1,15.0,14.0,,12.0,8.0,,Thompson-Lesion,5ea3694d838a642e5790ec0a
novice,play watch play,1,1,15.0,14.0,,12.0,11.0,,Thompson-Naive,5ea3694d838a642e5790ec0a
novice,play watch play,1,1,15.0,14.0,,17.0,15.0,,Thompson-Predict,5ea3694d838a642e5790ec0a
no teacher,play play play,1,0,11.0,11.0,13.0,13.0,14.0,14.0,Thompson-Lesion,62b1ed31eaaaa61b18c69032
no teacher,play play play,1,0,11.0,11.0,13.0,14.0,18.0,14.0,Thompson-Naive,62b1ed31eaaaa61b18c69032
no teacher,play play play,1,0,11.0,11.0,13.0,14.0,15.0,19.0,Thompson-Predict,62b1ed31eaaaa61b18c69032
novice,watch play play,0,0,18.0,17.0,,11,17,,Thompson-Lesion,63bc7645044a7d5ab6c9cb96
novice,watch play play,0,0,18.0,17.0,,15,15,,Thompson-Naive,63bc7645044a7d5ab6c9cb96
novice,watch play play,0,0,18.0,17.0,,13,16,,Thompson-Predict,63bc7645044a7d5ab6c9cb96
novice,watch play play,0,0,12.0,12.0,,10,14,,Thompson-Lesion,5c82c9a4d8302a00010639b8
novice,watch play play,0,0,12.0,12.0,,17,13,,Thompson-Naive,5c82c9a4d8302a00010639b8
novice,watch play play,0,0,12.0,12.0,,10,12,,Thompson-Predict,5c82c9a4d8302a00010639b8
expert,play watch play,1,1,11.0,15.0,,8.0,18.0,,Thompson-Lesion,55bc99e3fdf99b06452252f8
expert,play watch play,1,1,11.0,15.0,,11.0,11.0,,Thompson-Naive,55bc99e3fdf99b06452252f8
expert,play watch play,1,1,11.0,15.0,,10.0,23.0,,Thompson-Predict,55bc99e3fdf99b06452252f8
no teacher,play play play,2,0,9.0,13.0,10.0,14.0,12.0,17.0,Thompson-Lesion,5c318c0143b64d000171d078
no teacher,play play play,2,0,9.0,13.0,10.0,13.0,15.0,15.0,Thompson-Naive,5c318c0143b64d000171d078
no teacher,play play play,2,0,9.0,13.0,10.0,11.0,11.0,15.0,Thompson-Predict,5c318c0143b64d000171d078
expert,watch play play,0,0,18.0,22.0,,22,20,,Thompson-Lesion,568e7144e3ef9e000da20149
expert,watch play play,0,0,18.0,22.0,,11,13,,Thompson-Naive,568e7144e3ef9e000da20149
expert,watch play play,0,0,18.0,22.0,,19,20,,Thompson-Predict,568e7144e3ef9e000da20149
no teacher,play play play,3,0,18.0,10.0,12.0,5.0,15.0,10.0,Thompson-Lesion,5a4a94fef7b7bc00014e1462
no teacher,play play play,3,0,18.0,10.0,12.0,9.0,14.0,17.0,Thompson-Naive,5a4a94fef7b7bc00014e1462
no teacher,play play play,3,0,18.0,10.0,12.0,12.0,15.0,10.0,Thompson-Predict,5a4a94fef7b7bc00014e1462
novice,watch play play,0,0,16.0,14.0,,17,18,,Thompson-Lesion,63ddc6baab6a2130b8a41bf7
novice,watch play play,0,0,16.0,14.0,,15,14,,Thompson-Naive,63ddc6baab6a2130b8a41bf7
novice,watch play play,0,0,16.0,14.0,,12,12,,Thompson-Predict,63ddc6baab6a2130b8a41bf7
no teacher,play play play,1,1,12.0,11.0,15.0,15.0,13.0,15.0,Thompson-Lesion,65a886d80279e6d71af87e7b
no teacher,play play play,1,1,12.0,11.0,15.0,14.0,15.0,12.0,Thompson-Naive,65a886d80279e6d71af87e7b
no teacher,play play play,1,1,12.0,11.0,15.0,13.0,15.0,14.0,Thompson-Predict,65a886d80279e6d71af87e7b
expert,watch play play,0,0,17.0,14.0,,17,17,,Thompson-Lesion,5c82c9a4d8302a00010639b8
expert,watch play play,0,0,17.0,14.0,,15,19,,Thompson-Naive,5c82c9a4d8302a00010639b8
expert,watch play play,0,0,17.0,14.0,,16,20,,Thompson-Predict,5c82c9a4d8302a00010639b8
expert,watch play play,1,1,17.0,22.0,,16,17,,Thompson-Lesion,5ae3a41d32ef52000131a531
expert,watch play play,1,1,17.0,22.0,,15,18,,Thompson-Naive,5ae3a41d32ef52000131a531
expert,watch play play,1,1,17.0,22.0,,14,19,,Thompson-Predict,5ae3a41d32ef52000131a531
expert,watch play play,1,1,18.0,17.0,,19,13,,Thompson-Lesion,5ab7c19e1667e40001d7cd93
expert,watch play play,1,1,18.0,17.0,,13,13,,Thompson-Naive,5ab7c19e1667e40001d7cd93
expert,watch play play,1,1,18.0,17.0,,15,15,,Thompson-Predict,5ab7c19e1667e40001d7cd93
no teacher,play play play,1,1,10.0,20.0,22.0,12.0,13.0,12.0,Thompson-Lesion,610790e286844c36e02f906c
no teacher,play play play,1,1,10.0,20.0,22.0,13.0,15.0,22.0,Thompson-Naive,610790e286844c36e02f906c
no teacher,play play play,1,1,10.0,20.0,22.0,11.0,23.0,23.0,Thompson-Predict,610790e286844c36e02f906c
novice,watch play play,1,1,16.0,19.0,,7,16,,Thompson-Lesion,5e0e1b8800a6bf000a694f79
novice,watch play play,1,1,16.0,19.0,,12,17,,Thompson-Naive,5e0e1b8800a6bf000a694f79
novice,watch play play,1,1,16.0,19.0,,9,16,,Thompson-Predict,5e0e1b8800a6bf000a694f79
expert,play watch play,0,0,13.0,12.0,,14.0,18.0,,Thompson-Lesion,5e0e1b8800a6bf000a694f79
expert,play watch play,0,0,13.0,12.0,,8.0,10.0,,Thompson-Naive,5e0e1b8800a6bf000a694f79
expert,play watch play,0,0,13.0,12.0,,13.0,15.0,,Thompson-Predict,5e0e1b8800a6bf000a694f79
expert,watch play play,1,1,20.0,21.0,,17,18,,Thompson-Lesion,654090a7a998974e1e57e76f
expert,watch play play,1,1,20.0,21.0,,17,14,,Thompson-Naive,654090a7a998974e1e57e76f
expert,watch play play,1,1,20.0,21.0,,18,18,,Thompson-Predict,654090a7a998974e1e57e76f
no teacher,play play play,2,1,17.0,16.0,11.0,14.0,16.0,17.0,Thompson-Lesion,568e7144e3ef9e000da20149
no teacher,play play play,2,1,17.0,16.0,11.0,10.0,19.0,18.0,Thompson-Naive,568e7144e3ef9e000da20149
no teacher,play play play,2,1,17.0,16.0,11.0,14.0,17.0,19.0,Thompson-Predict,568e7144e3ef9e000da20149
novice,watch play play,0,0,19.0,21.0,,6,11,,Thompson-Lesion,646778f0d6b43cbeb4501454
novice,watch play play,0,0,19.0,21.0,,16,19,,Thompson-Naive,646778f0d6b43cbeb4501454
novice,watch play play,0,0,19.0,21.0,,10,10,,Thompson-Predict,646778f0d6b43cbeb4501454
novice,watch play play,1,1,16.0,16.0,,12,9,,Thompson-Lesion,5e8cf43fbf65bf0bdfe15296
novice,watch play play,1,1,16.0,16.0,,14,19,,Thompson-Naive,5e8cf43fbf65bf0bdfe15296
novice,watch play play,1,1,16.0,16.0,,13,13,,Thompson-Predict,5e8cf43fbf65bf0bdfe15296
novice,play watch play,1,1,16.0,20.0,,13.0,11.0,,Thompson-Lesion,60f2a2b4932fed5326988e0f
novice,play watch play,1,1,16.0,20.0,,9.0,20.0,,Thompson-Naive,60f2a2b4932fed5326988e0f
novice,play watch play,1,1,16.0,20.0,,9.0,12.0,,Thompson-Predict,60f2a2b4932fed5326988e0f
expert,play watch play,1,1,15.0,21.0,,10.0,20.0,,Thompson-Lesion,5e1a7114a90da52e206de7ea
expert,play watch play,1,1,15.0,21.0,,10.0,19.0,,Thompson-Naive,5e1a7114a90da52e206de7ea
expert,play watch play,1,1,15.0,21.0,,10.0,21.0,,Thompson-Predict,5e1a7114a90da52e206de7ea
novice,play watch play,0,0,7.0,14.0,,12.0,12.0,,Thompson-Lesion,5c1b9212bfd9220001a9ada0
novice,play watch play,0,0,7.0,14.0,,10.0,14.0,,Thompson-Naive,5c1b9212bfd9220001a9ada0
novice,play watch play,0,0,7.0,14.0,,9.0,14.0,,Thompson-Predict,5c1b9212bfd9220001a9ada0
expert,play watch play,1,1,22.0,18.0,,14.0,21.0,,Thompson-Lesion,631ffc3584141f143567f021
expert,play watch play,1,1,22.0,18.0,,12.0,15.0,,Thompson-Naive,631ffc3584141f143567f021
expert,play watch play,1,1,22.0,18.0,,11.0,18.0,,Thompson-Predict,631ffc3584141f143567f021
no teacher,play play play,3,0,18.0,17.0,21.0,10.0,15.0,16.0,Thompson-Lesion,5e1a7114a90da52e206de7ea
no teacher,play play play,3,0,18.0,17.0,21.0,10.0,17.0,22.0,Thompson-Naive,5e1a7114a90da52e206de7ea
no teacher,play play play,3,0,18.0,17.0,21.0,12.0,16.0,17.0,Thompson-Predict,5e1a7114a90da52e206de7ea
novice,watch play play,1,1,15.0,16.0,,11,11,,Thompson-Lesion,5f24629d239fcb02d69a18d1
novice,watch play play,1,1,15.0,16.0,,17,16,,Thompson-Naive,5f24629d239fcb02d69a18d1
novice,watch play play,1,1,15.0,16.0,,10,12,,Thompson-Predict,5f24629d239fcb02d69a18d1
expert,watch play play,0,0,13.0,19.0,,10,14,,Thompson-Lesion,614f58258eaf7063aa888d90
expert,watch play play,0,0,13.0,19.0,,14,21,,Thompson-Naive,614f58258eaf7063aa888d90
expert,watch play play,0,0,13.0,19.0,,18,19,,Thompson-Predict,614f58258eaf7063aa888d90
expert,watch play play,0,0,19.0,15.0,,15,18,,Thompson-Lesion,606575435e519decf2dd36e3
expert,watch play play,0,0,19.0,15.0,,12,15,,Thompson-Naive,606575435e519decf2dd36e3
expert,watch play play,0,0,19.0,15.0,,23,21,,Thompson-Predict,606575435e519decf2dd36e3
novice,play watch play,0,0,15.0,12.0,,12.0,13.0,,Thompson-Lesion,60d912ea081d95b4faa5ba51
novice,play watch play,0,0,15.0,12.0,,9.0,15.0,,Thompson-Naive,60d912ea081d95b4faa5ba51
novice,play watch play,0,0,15.0,12.0,,13.0,18.0,,Thompson-Predict,60d912ea081d95b4faa5ba51
expert,play watch play,0,0,15.0,20.0,,14.0,14.0,,Thompson-Lesion,589d0c07d6a2220001178695
expert,play watch play,0,0,15.0,20.0,,15.0,19.0,,Thompson-Naive,589d0c07d6a2220001178695
expert,play watch play,0,0,15.0,20.0,,9.0,17.0,,Thompson-Predict,589d0c07d6a2220001178695
novice,play watch play,0,0,8.0,14.0,,18.0,18.0,,Thompson-Lesion,656964b3923e30926f806a2c
novice,play watch play,0,0,8.0,14.0,,9.0,20.0,,Thompson-Naive,656964b3923e30926f806a2c
novice,play watch play,0,0,8.0,14.0,,12.0,13.0,,Thompson-Predict,656964b3923e30926f806a2c
novice,play watch play,1,1,14.0,13.0,,12.0,19.0,,Thompson-Lesion,5ad0f1934d061300011b0a4d
novice,play watch play,1,1,14.0,13.0,,12.0,16.0,,Thompson-Naive,5ad0f1934d061300011b0a4d
novice,play watch play,1,1,14.0,13.0,,8.0,12.0,,Thompson-Predict,5ad0f1934d061300011b0a4d
expert,watch play play,0,0,23.0,20.0,,18,21,,Thompson-Lesion,5ae3a41d32ef52000131a531
expert,watch play play,0,0,23.0,20.0,,10,11,,Thompson-Naive,5ae3a41d32ef52000131a531
expert,watch play play,0,0,23.0,20.0,,12,17,,Thompson-Predict,5ae3a41d32ef52000131a531
novice,watch play play,1,1,14.0,12.0,,9,17,,Thompson-Lesion,62c9024c3181d7800e31a759
novice,watch play play,1,1,14.0,12.0,,17,13,,Thompson-Naive,62c9024c3181d7800e31a759
novice,watch play play,1,1,14.0,12.0,,16,22,,Thompson-Predict,62c9024c3181d7800e31a759
novice,play watch play,1,1,13.0,11.0,,14.0,17.0,,Thompson-Lesion,59f22a9fd6380600018b2929
novice,play watch play,1,1,13.0,11.0,,9.0,12.0,,Thompson-Naive,59f22a9fd6380600018b2929
novice,play watch play,1,1,13.0,11.0,,9.0,17.0,,Thompson-Predict,59f22a9fd6380600018b2929
novice,play watch play,1,1,9.0,11.0,,11.0,14.0,,Thompson-Lesion,5f87d9bfc31a1322cfc32cbd
novice,play watch play,1,1,9.0,11.0,,13.0,20.0,,Thompson-Naive,5f87d9bfc31a1322cfc32cbd
novice,play watch play,1,1,9.0,11.0,,10.0,11.0,,Thompson-Predict,5f87d9bfc31a1322cfc32cbd
expert,watch play play,1,1,21.0,20.0,,22,18,,Thompson-Lesion,658e66f34a68a13ce2c6ab37
expert,watch play play,1,1,21.0,20.0,,9,17,,Thompson-Naive,658e66f34a68a13ce2c6ab37
expert,watch play play,1,1,21.0,20.0,,13,22,,Thompson-Predict,658e66f34a68a13ce2c6ab37
novice,play watch play,1,1,10.0,13.0,,14.0,13.0,,Thompson-Lesion,631ab79e8635a1df26319958
novice,play watch play,1,1,10.0,13.0,,12.0,12.0,,Thompson-Naive,631ab79e8635a1df26319958
novice,play watch play,1,1,10.0,13.0,,14.0,15.0,,Thompson-Predict,631ab79e8635a1df26319958
novice,play watch play,1,1,10.0,19.0,,8.0,10.0,,Thompson-Lesion,5bbafad7736db000016d8600
novice,play watch play,1,1,10.0,19.0,,14.0,16.0,,Thompson-Naive,5bbafad7736db000016d8600
novice,play watch play,1,1,10.0,19.0,,7.0,12.0,,Thompson-Predict,5bbafad7736db000016d8600
novice,watch play play,1,1,17.0,19.0,,10,9,,Thompson-Lesion,5a08ddd0df3fa800015c36ac
novice,watch play play,1,1,17.0,19.0,,13,11,,Thompson-Naive,5a08ddd0df3fa800015c36ac
novice,watch play play,1,1,17.0,19.0,,10,19,,Thompson-Predict,5a08ddd0df3fa800015c36ac
expert,watch play play,1,1,16.0,14.0,,12,13,,Thompson-Lesion,60e792f25e9ab875f9605cf5
expert,watch play play,1,1,16.0,14.0,,12,17,,Thompson-Naive,60e792f25e9ab875f9605cf5
expert,watch play play,1,1,16.0,14.0,,16,16,,Thompson-Predict,60e792f25e9ab875f9605cf5
novice,play watch play,0,0,13.0,14.0,,16.0,17.0,,Thompson-Lesion,646778f0d6b43cbeb4501454
novice,play watch play,0,0,13.0,14.0,,14.0,12.0,,Thompson-Naive,646778f0d6b43cbeb4501454
novice,play watch play,0,0,13.0,14.0,,10.0,13.0,,Thompson-Predict,646778f0d6b43cbeb4501454
novice,watch play play,0,0,19.0,22.0,,15,16,,Thompson-Lesion,55c694e3fdf99b6c4f28595f
novice,watch play play,0,0,19.0,22.0,,12,10,,Thompson-Naive,55c694e3fdf99b6c4f28595f
novice,watch play play,0,0,19.0,22.0,,10,17,,Thompson-Predict,55c694e3fdf99b6c4f28595f
expert,play watch play,0,0,11.0,18.0,,13.0,19.0,,Thompson-Lesion,601a2908d4210b238f755fed
expert,play watch play,0,0,11.0,18.0,,10.0,14.0,,Thompson-Naive,601a2908d4210b238f755fed
expert,play watch play,0,0,11.0,18.0,,14.0,23.0,,Thompson-Predict,601a2908d4210b238f755fed
expert,watch play play,1,1,21.0,23.0,,18,20,,Thompson-Lesion,60d912ea081d95b4faa5ba51
expert,watch play play,1,1,21.0,23.0,,18,22,,Thompson-Naive,60d912ea081d95b4faa5ba51
expert,watch play play,1,1,21.0,23.0,,19,18,,Thompson-Predict,60d912ea081d95b4faa5ba51
expert,watch play play,0,0,19.0,20.0,,19,20,,Thompson-Lesion,55bc99e3fdf99b06452252f8
expert,watch play play,0,0,19.0,20.0,,12,17,,Thompson-Naive,55bc99e3fdf99b06452252f8
expert,watch play play,0,0,19.0,20.0,,14,15,,Thompson-Predict,55bc99e3fdf99b06452252f8
expert,play watch play,0,0,16.0,17.0,,9.0,20.0,,Thompson-Lesion,628f0d7e3055b5d1887916c5
expert,play watch play,0,0,16.0,17.0,,11.0,19.0,,Thompson-Naive,628f0d7e3055b5d1887916c5
expert,play watch play,0,0,16.0,17.0,,12.0,21.0,,Thompson-Predict,628f0d7e3055b5d1887916c5
novice,play watch play,0,0,12.0,17.0,,13.0,19.0,,Thompson-Lesion,60fca5dcb45af6ae93ed125f
novice,play watch play,0,0,12.0,17.0,,12.0,15.0,,Thompson-Naive,60fca5dcb45af6ae93ed125f
novice,play watch play,0,0,12.0,17.0,,12.0,10.0,,Thompson-Predict,60fca5dcb45af6ae93ed125f
expert,watch play play,1,1,18.0,17.0,,17,13,,Thompson-Lesion,60b6b4d12a9854d3385bc768
expert,watch play play,1,1,18.0,17.0,,16,13,,Thompson-Naive,60b6b4d12a9854d3385bc768
expert,watch play play,1,1,18.0,17.0,,16,15,,Thompson-Predict,60b6b4d12a9854d3385bc768
novice,play watch play,0,0,22.0,19.0,,12.0,15.0,,Thompson-Lesion,5de8bc74553cee8280a7dd84
novice,play watch play,0,0,22.0,19.0,,12.0,16.0,,Thompson-Naive,5de8bc74553cee8280a7dd84
novice,play watch play,0,0,22.0,19.0,,15.0,19.0,,Thompson-Predict,5de8bc74553cee8280a7dd84
expert,watch play play,0,0,17.0,23.0,,18,19,,Thompson-Lesion,633c7424294f7a26710ca395
expert,watch play play,0,0,17.0,23.0,,10,15,,Thompson-Naive,633c7424294f7a26710ca395
expert,watch play play,0,0,17.0,23.0,,20,22,,Thompson-Predict,633c7424294f7a26710ca395
expert,watch play play,0,0,21.0,16.0,,15,20,,Thompson-Lesion,632be0bcdec1f14421c64dc2
expert,watch play play,0,0,21.0,16.0,,15,18,,Thompson-Naive,632be0bcdec1f14421c64dc2
expert,watch play play,0,0,21.0,16.0,,18,20,,Thompson-Predict,632be0bcdec1f14421c64dc2
no teacher,play play play,3,1,20.0,11.0,17.0,14.0,14.0,12.0,Thompson-Lesion,631615e2e62254d0d63d1ab0
no teacher,play play play,3,1,20.0,11.0,17.0,16.0,17.0,23.0,Thompson-Naive,631615e2e62254d0d63d1ab0
no teacher,play play play,3,1,20.0,11.0,17.0,6.0,14.0,20.0,Thompson-Predict,631615e2e62254d0d63d1ab0
novice,watch play play,0,0,14.0,20.0,,12,17,,Thompson-Lesion,5e62f732321c5c08db54cca2
novice,watch play play,0,0,14.0,20.0,,16,22,,Thompson-Naive,5e62f732321c5c08db54cca2
novice,watch play play,0,0,14.0,20.0,,13,17,,Thompson-Predict,5e62f732321c5c08db54cca2
expert,watch play play,0,0,20.0,21.0,,13,17,,Thompson-Lesion,60f5f8769fc9289a9e518129
expert,watch play play,0,0,20.0,21.0,,14,17,,Thompson-Naive,60f5f8769fc9289a9e518129
expert,watch play play,0,0,20.0,21.0,,18,15,,Thompson-Predict,60f5f8769fc9289a9e518129
expert,play watch play,0,0,13.0,19.0,,14.0,20.0,,Thompson-Lesion,63d7fb6ee49281f6c41d6630
expert,play watch play,0,0,13.0,19.0,,13.0,20.0,,Thompson-Naive,63d7fb6ee49281f6c41d6630
expert,play watch play,0,0,13.0,19.0,,12.0,11.0,,Thompson-Predict,63d7fb6ee49281f6c41d6630
novice,watch play play,0,0,11.0,19.0,,12,13,,Thompson-Lesion,612274842d4805447451f87b
novice,watch play play,0,0,11.0,19.0,,10,14,,Thompson-Naive,612274842d4805447451f87b
novice,watch play play,0,0,11.0,19.0,,18,19,,Thompson-Predict,612274842d4805447451f87b
expert,watch play play,1,1,13.0,15.0,,16,15,,Thompson-Lesion,55bc99e3fdf99b06452252f8
expert,watch play play,1,1,13.0,15.0,,13,14,,Thompson-Naive,55bc99e3fdf99b06452252f8
expert,watch play play,1,1,13.0,15.0,,16,17,,Thompson-Predict,55bc99e3fdf99b06452252f8
expert,play watch play,1,1,19.0,12.0,,16.0,16.0,,Thompson-Lesion,5e1c138a2bf9514062e4de6b
expert,play watch play,1,1,19.0,12.0,,13.0,17.0,,Thompson-Naive,5e1c138a2bf9514062e4de6b
expert,play watch play,1,1,19.0,12.0,,8.0,17.0,,Thompson-Predict,5e1c138a2bf9514062e4de6b
novice,play watch play,1,1,10.0,14.0,,12.0,17.0,,Thompson-Lesion,652fe7c2b91e23646d72a1e6
novice,play watch play,1,1,10.0,14.0,,12.0,16.0,,Thompson-Naive,652fe7c2b91e23646d72a1e6
novice,play watch play,1,1,10.0,14.0,,12.0,20.0,,Thompson-Predict,652fe7c2b91e23646d72a1e6
no teacher,play play play,3,1,6.0,19.0,21.0,13.0,11.0,17.0,Thompson-Lesion,5a08ddd0df3fa800015c36ac
no teacher,play play play,3,1,6.0,19.0,21.0,11.0,11.0,19.0,Thompson-Naive,5a08ddd0df3fa800015c36ac
no teacher,play play play,3,1,6.0,19.0,21.0,18.0,11.0,16.0,Thompson-Predict,5a08ddd0df3fa800015c36ac
no teacher,play play play,0,0,11.0,17.0,13.0,10.0,22.0,23.0,Thompson-Lesion,614f9a284f135b4da3329968
no teacher,play play play,0,0,11.0,17.0,13.0,12.0,15.0,17.0,Thompson-Naive,614f9a284f135b4da3329968
no teacher,play play play,0,0,11.0,17.0,13.0,10.0,13.0,16.0,Thompson-Predict,614f9a284f135b4da3329968
expert,play watch play,0,0,18.0,19.0,,9.0,18.0,,Thompson-Lesion,60fda82c6d2d7be651a8e4b7
expert,play watch play,0,0,18.0,19.0,,12.0,13.0,,Thompson-Naive,60fda82c6d2d7be651a8e4b7
expert,play watch play,0,0,18.0,19.0,,11.0,16.0,,Thompson-Predict,60fda82c6d2d7be651a8e4b7
novice,play watch play,1,1,8.0,13.0,,13.0,15.0,,Thompson-Lesion,65ae75ddcc163b8e8b23d45b
novice,play watch play,1,1,8.0,13.0,,13.0,23.0,,Thompson-Naive,65ae75ddcc163b8e8b23d45b
novice,play watch play,1,1,8.0,13.0,,10.0,18.0,,Thompson-Predict,65ae75ddcc163b8e8b23d45b
novice,watch play play,0,0,11.0,16.0,,15,16,,Thompson-Lesion,611bce5ac6e92b749dc5e450
novice,watch play play,0,0,11.0,16.0,,17,16,,Thompson-Naive,611bce5ac6e92b749dc5e450
novice,watch play play,0,0,11.0,16.0,,20,18,,Thompson-Predict,611bce5ac6e92b749dc5e450
expert,watch play play,1,1,13.0,13.0,,20,17,,Thompson-Lesion,5f87d9bfc31a1322cfc32cbd
expert,watch play play,1,1,13.0,13.0,,11,18,,Thompson-Naive,5f87d9bfc31a1322cfc32cbd
expert,watch play play,1,1,13.0,13.0,,17,19,,Thompson-Predict,5f87d9bfc31a1322cfc32cbd
expert,play watch play,1,1,14.0,13.0,,15.0,16.0,,Thompson-Lesion,60f5f8769fc9289a9e518129
expert,play watch play,1,1,14.0,13.0,,13.0,10.0,,Thompson-Naive,60f5f8769fc9289a9e518129
expert,play watch play,1,1,14.0,13.0,,12.0,13.0,,Thompson-Predict,60f5f8769fc9289a9e518129
expert,play watch play,1,1,10.0,23.0,,13.0,13.0,,Thompson-Lesion,60b6b4d12a9854d3385bc768
expert,play watch play,1,1,10.0,23.0,,13.0,12.0,,Thompson-Naive,60b6b4d12a9854d3385bc768
expert,play watch play,1,1,10.0,23.0,,15.0,21.0,,Thompson-Predict,60b6b4d12a9854d3385bc768
no teacher,play play play,1,1,13.0,13.0,17.0,12.0,16.0,12.0,Thompson-Lesion,577d11f88b3e2300016d74a0
no teacher,play play play,1,1,13.0,13.0,17.0,12.0,14.0,13.0,Thompson-Naive,577d11f88b3e2300016d74a0
no teacher,play play play,1,1,13.0,13.0,17.0,13.0,18.0,23.0,Thompson-Predict,577d11f88b3e2300016d74a0
novice,watch play play,1,1,12.0,15.0,,15,16,,Thompson-Lesion,5bf4d3e01a71ac0001208301
novice,watch play play,1,1,12.0,15.0,,15,20,,Thompson-Naive,5bf4d3e01a71ac0001208301
novice,watch play play,1,1,12.0,15.0,,15,22,,Thompson-Predict,5bf4d3e01a71ac0001208301
novice,watch play play,1,1,12.0,11.0,,13,21,,Thompson-Lesion,650868d5afd62c7980c24f67
novice,watch play play,1,1,12.0,11.0,,12,17,,Thompson-Naive,650868d5afd62c7980c24f67
novice,watch play play,1,1,12.0,11.0,,10,14,,Thompson-Predict,650868d5afd62c7980c24f67
expert,watch play play,0,0,15.0,11.0,,17,18,,Thompson-Lesion,6496f162cb9494f2bd0cb495
expert,watch play play,0,0,15.0,11.0,,12,14,,Thompson-Naive,6496f162cb9494f2bd0cb495
expert,watch play play,0,0,15.0,11.0,,23,19,,Thompson-Predict,6496f162cb9494f2bd0cb495
novice,play watch play,0,0,8.0,12.0,,12.0,17.0,,Thompson-Lesion,657aacdf40daebdb26cb3b94
novice,play watch play,0,0,8.0,12.0,,12.0,12.0,,Thompson-Naive,657aacdf40daebdb26cb3b94
novice,play watch play,0,0,8.0,12.0,,12.0,11.0,,Thompson-Predict,657aacdf40daebdb26cb3b94
novice,watch play play,0,0,15.0,20.0,,15,14,,Thompson-Lesion,605e6f4f35800996a22ac0ab
novice,watch play play,0,0,15.0,20.0,,10,10,,Thompson-Naive,605e6f4f35800996a22ac0ab
novice,watch play play,0,0,15.0,20.0,,10,10,,Thompson-Predict,605e6f4f35800996a22ac0ab
expert,watch play play,0,0,18.0,22.0,,17,14,,Thompson-Lesion,5e0e1b8800a6bf000a694f79
expert,watch play play,0,0,18.0,22.0,,12,9,,Thompson-Naive,5e0e1b8800a6bf000a694f79
expert,watch play play,0,0,18.0,22.0,,18,16,,Thompson-Predict,5e0e1b8800a6bf000a694f79
expert,play watch play,1,1,16.0,23.0,,11.0,18.0,,Thompson-Lesion,59f22a9fd6380600018b2929
expert,play watch play,1,1,16.0,23.0,,13.0,22.0,,Thompson-Naive,59f22a9fd6380600018b2929
expert,play watch play,1,1,16.0,23.0,,13.0,22.0,,Thompson-Predict,59f22a9fd6380600018b2929
expert,play watch play,0,0,20.0,21.0,,9.0,18.0,,Thompson-Lesion,55acf681fdf99b3d5b2ab68c
expert,play watch play,0,0,20.0,21.0,,11.0,16.0,,Thompson-Naive,55acf681fdf99b3d5b2ab68c
expert,play watch play,0,0,20.0,21.0,,11.0,16.0,,Thompson-Predict,55acf681fdf99b3d5b2ab68c
no teacher,play play play,2,1,14.0,10.0,11.0,8.0,15.0,14.0,Thompson-Lesion,5c318c0143b64d000171d078
no teacher,play play play,2,1,14.0,10.0,11.0,15.0,16.0,14.0,Thompson-Naive,5c318c0143b64d000171d078
no teacher,play play play,2,1,14.0,10.0,11.0,12.0,14.0,19.0,Thompson-Predict,5c318c0143b64d000171d078
no teacher,play play play,1,0,18.0,22.0,23.0,9.0,13.0,15.0,Thompson-Lesion,5d2a5458c0898e001ab08f65
no teacher,play play play,1,0,18.0,22.0,23.0,15.0,17.0,13.0,Thompson-Naive,5d2a5458c0898e001ab08f65
no teacher,play play play,1,0,18.0,22.0,23.0,12.0,9.0,11.0,Thompson-Predict,5d2a5458c0898e001ab08f65
expert,watch play play,1,1,12.0,14.0,,16,16,,Thompson-Lesion,612274842d4805447451f87b
