Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Colourblindness,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
65b02409c1a74cc9448a7ef7,6165af4b36cb3bae91f2e355,AWAITING REVIEW,2024-01-23T20:39:37.817000Z,2024-01-23T20:51:38.958000Z,,2024-01-23T20:51:39.481124Z,722.0,CTVM94DF,776,"No, I have no issues seeing colours",32,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
65b0240dcb11aa02e4cc9397,5b0ef5a630037f0001d0ff4b,AWAITING REVIEW,2024-01-23T20:40:43.749000Z,2024-01-23T20:52:01.622000Z,,2024-01-23T20:52:02.071708Z,678.0,CTVM94DF,1498,"No, I have no issues seeing colours",32,Female,White,United States,United States,United States,English,No,Full-Time
65b0243efff17b7984a09da7,631615e2e62254d0d63d1ab0,AWAITING REVIEW,2024-01-23T20:40:39.266000Z,2024-01-23T20:53:08.846000Z,,2024-01-23T20:53:09.270025Z,750.0,CTVM94DF,1975,"No, I have no issues seeing colours",31,Female,Asian,United States,United States,United States,English,No,DATA_EXPIRED
65b0244219adc96bbe428f0d,631ffc3584141f143567f021,AWAITING REVIEW,2024-01-23T20:40:39.134000Z,2024-01-23T20:54:11.320000Z,,2024-01-23T20:54:11.749623Z,813.0,CTVM94DF,472,"No, I have no issues seeing colours",22,Male,White,United States,United States,United States,English,No,Part-Time
65b02455a93c15cdde0923f5,58ed2be2a083320001a13783,AWAITING REVIEW,2024-01-23T20:40:56.146000Z,2024-01-23T21:14:22.479000Z,,2024-01-23T21:14:22.888046Z,2007.0,CTVM94DF,5212,"No, I have no issues seeing colours",39,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
65b0245cd6c61305ef9b178e,655fa291e9e8e996f8e82473,AWAITING REVIEW,2024-01-23T20:41:05.904000Z,2024-01-23T20:55:32.256000Z,,2024-01-23T20:55:32.754944Z,867.0,CTVM94DF,126,"No, I have no issues seeing colours",34,Female,Black,United States,United States,United States,English,Yes,Unemployed (and job seeking)
65b0247036756eb658fbc896,60ff346f3f035109a4a49a5c,AWAITING REVIEW,2024-01-23T20:41:26.250000Z,2024-01-23T20:55:34.340000Z,,2024-01-23T20:55:34.813300Z,849.0,CTVM94DF,1902,"No, I have no issues seeing colours",28,Female,White,United States,United States,United States,English,No,Full-Time
65b024761a0e823845526323,5bcc22f80a22990001535fb2,AWAITING REVIEW,2024-01-23T20:41:31.288000Z,2024-01-23T20:54:37.392000Z,,2024-01-23T20:54:37.970994Z,787.0,CTVM94DF,332,"No, I have no issues seeing colours",24,Male,White,Romania,United States,United States,English,No,Full-Time
65b02476a1b58c1a57ea4158,61118e9a32395df5867ce217,AWAITING REVIEW,2024-01-23T20:41:30.768000Z,2024-01-23T20:52:42.899000Z,,2024-01-23T20:52:43.409434Z,673.0,CTVM94DF,258,"No, I have no issues seeing colours",21,Female,White,United States,United States,United States,English,Yes,Part-Time
65b0248181be9840cf46c935,5d2a5458c0898e001ab08f65,AWAITING REVIEW,2024-01-23T20:41:50.101000Z,2024-01-23T21:03:28.551000Z,,2024-01-23T21:03:29.132006Z,1299.0,CTVM94DF,935,"No, I have no issues seeing colours",39,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
65b0248a5c3f937702c4afff,5de8bc74553cee8280a7dd84,AWAITING REVIEW,2024-01-23T20:41:53.109000Z,2024-01-23T20:56:31.746000Z,,2024-01-23T20:56:32.202959Z,879.0,CTVM94DF,2208,"No, I have no issues seeing colours",26,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
